,Date,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,latitude,max_fluctuations,kp_indices
236,2019-12-25,0,4.16,0.63,8.35,-0.78,-4.72,5.61,1.59,-7.57,4.23,0.61,-5.59,6.13,131.31,11.88,351.62,10.09,-53.62,77.30,5.99,0.87,27.80,342.78,303.72,358.55,30858,14853,91972,18.03829876266088,16.14289317315827,1.505905624532247
237,2019-12-26,0,4.38,1.28,8.63,1.01,-3.54,6.72,-3.37,-7.57,2.40,0.44,-3.81,5.67,276.73,7.84,353.51,6.42,-58.28,61.35,5.58,2.26,12.67,384.61,340.27,416.04,77578,26121,164590,7.074284482671132,16.14289317315827,0.9577049105327596
238,2019-12-27,0,3.92,2.07,5.31,-1.59,-4.27,2.98,-2.8,-4.57,0.58,0.37,-3.43,3.21,248.15,20.89,352.35,5.38,-60.41,57.70,4.02,1.60,5.93,372.65,356.43,388.65,45396,19157,94785,6.512539017400029,16.14289317315827,0.9296176372692045
239,2019-12-28,0,3.45,1.21,4.12,-0.08,-3.81,3.73,-2.0,-3.44,1.79,0.66,-2.17,2.70,274.46,6.39,353.08,11.84,-74.89,71.83,4.09,1.10,6.94,352.52,313.30,368.92,36949,18968,88216,17.38803161134517,16.14289317315827,1.4733922669664614
240,2019-12-29,0,3.53,2.03,5.60,0.86,-2.73,3.51,-2.9,-5.45,1.56,0.69,-2.71,2.82,289.76,6.35,352.72,10.53,-62.58,57.05,3.80,1.13,6.07,303.96,288.92,330.45,21655,11454,53579,12.538462110623747,16.14289317315827,1.2309137919303903
241,2019-12-30,0,5.66,2.16,7.61,0.83,-1.05,3.73,-4.54,-7.02,4.55,1.93,-2.88,5.21,283.51,39.80,340.50,20.05,-51.09,68.92,4.54,2.03,8.87,294.73,285.23,306.97,18902,11570,38070,21.096816974787703,16.14289317315827,1.6588315351385883
242,2019-12-31,0,4.57,1.29,7.52,-3.09,-7.00,2.46,-0.97,-6.14,3.79,-1.49,-4.07,5.46,206.33,25.69,336.35,-17.24,-61.92,68.33,3.75,1.33,10.25,300.81,284.16,321.26,25515,13953,80423,-22.68270194307909,16.14289317315827,-0.5301444107547513
243,2020-01-01,0,3.41,1.58,5.37,2.22,-3.77,4.20,-1.59,-4.43,2.63,-0.06,-3.85,2.53,324.71,2.64,357.72,-1.01,-52.15,36.18,3.93,1.29,10.15,324.27,292.65,346.35,39180,14829,87415,-1.2584376819898977,16.14289317315827,0.5410688022997082
244,2020-01-02,0,3.21,1.34,5.65,0.97,-2.96,3.32,-1.58,-4.91,3.19,0.35,-3.30,2.80,305.56,4.25,355.86,6.41,-50.11,60.99,2.78,0.83,6.05,340.66,301.67,382.93,36386,16024,76056,10.509183606737817,16.14289317315827,1.129449866736094
245,2020-01-03,0,5.70,1.60,9.64,0.01,-6.78,4.49,-2.47,-8.51,5.08,-0.44,-6.13,6.41,274.33,3.47,352.15,-5.36,-62.95,77.00,3.78,0.90,9.07,358.44,322.47,412.20,65134,18686,170161,-9.947112376988356,16.14289317315827,0.10663506754978525
246,2020-01-04,0,4.72,1.70,9.16,0.27,-2.92,3.35,-4.46,-8.96,1.02,-0.91,-3.85,3.81,278.25,7.77,352.63,-8.72,-64.24,60.41,0.69,0.10,4.62,388.49,329.61,416.11,51176,11979,152506,-11.286031657553005,16.14289317315827,0.03968910352155275
247,2020-01-05,0,8.98,3.14,13.62,2.44,-5.06,7.48,-5.32,-10.31,10.89,2.63,-12.72,8.77,297.45,2.93,355.38,19.47,-71.43,67.84,2.52,0.18,16.43,383.05,317.21,545.99,86951,11293,320835,22.287432315621473,16.14289317315827,1.7183623021802767
248,2020-01-06,0,3.79,2.12,5.26,1.15,-4.93,4.92,-0.96,-4.48,1.68,0.8,-3.14,3.96,304.16,0.90,359.29,11.68,-66.77,78.97,1.10,0.14,2.38,489.30,450.20,553.63,102570,44959,256890,25.22368660613468,16.14289317315827,1.865175016705937
249,2020-01-07,0,2.95,1.32,4.71,1.99,-4.02,3.29,-1.0,-3.60,1.30,-0.07,-2.63,2.58,314.87,1.12,357.76,-1.53,-65.62,70.54,2.70,0.79,5.81,434.83,381.05,466.96,62194,30348,118199,-1.7993607276380368,16.14289317315827,0.5140226500173012
250,2020-01-08,0,4.01,2.10,6.29,1.76,-2.19,5.44,0.63,-5.17,3.55,-0.91,-5.73,2.94,4.32,4.41,354.53,-16.37,-85.13,51.14,2.09,0.10,5.80,388.28,361.02,443.23,62840,19184,152425,-23.638623079184434,16.14289317315827,-0.5779404675600186
251,2020-01-09,0,6.05,3.20,9.83,1.7,-4.71,8.93,-3.48,-7.31,4.84,-1.58,-6.88,4.70,300.33,3.20,356.64,-15.21,-73.21,58.54,2.88,0.52,8.14,447.49,404.25,555.55,126229,47568,298273,-20.692893519523743,16.14289317315827,-0.4306539895769841
252,2020-01-10,0,4.00,2.62,7.33,2.29,-3.01,3.92,-1.63,-6.58,2.67,0.89,-4.40,5.31,324.09,1.52,358.34,12.19,-65.52,77.54,1.15,0.15,2.85,502.35,447.56,563.14,137373,33194,281070,16.79685909173259,16.14289317315827,1.4438336409858326
253,2020-01-11,0,4.37,2.72,5.86,1.74,-4.10,4.11,-1.56,-4.90,3.99,0.1,-3.28,5.36,315.95,1.22,358.28,1.60,-52.07,82.97,1.05,0.10,4.01,434.72,402.73,498.48,101952,45575,368054,2.4480312198695833,16.14289317315827,0.7263922473926823
254,2020-01-12,0,2.86,0.85,4.88,0.31,-4.05,3.13,-1.38,-3.58,1.76,0.28,-2.65,2.73,282.22,2.63,355.94,5.98,-48.77,73.97,1.43,0.41,2.81,409.79,359.73,444.00,84533,43583,160902,10.989847479883567,16.14289317315827,1.1534830603933814
255,2020-01-13,0,3.69,0.76,4.34,-0.41,-3.62,3.54,-1.09,-3.94,3.54,0.22,-2.18,3.09,240.32,11.10,349.42,3.83,-59.08,72.57,0.82,0.20,3.03,352.92,325.05,390.39,33654,12908,109927,10.516073043699315,16.14289317315827,1.1297943385841687
256,2020-01-14,0,4.55,3.30,5.46,-2.86,-5.20,-0.11,2.95,-1.15,4.82,-0.34,-3.02,2.79,137.73,91.19,203.77,-4.19,-35.52,44.70,0.50,0.10,5.51,317.23,288.41,360.29,29584,10630,99756,-4.714382597116284,16.14289317315827,0.36827155654338883
257,2020-01-15,0,4.32,1.08,6.00,-1.19,-3.99,4.07,2.87,-4.38,5.04,-0.69,-5.03,3.88,108.85,25.04,345.58,-9.67,-74.68,72.17,4.33,1.18,12.98,317.16,295.35,347.69,32124,14585,90765,-12.232539112468372,16.14289317315827,-0.007636269224215564
258,2020-01-16,0,3.62,1.09,6.68,-1.97,-4.83,4.03,1.46,-3.51,5.87,0.13,-4.32,4.34,127.49,5.78,356.05,2.20,-62.29,52.13,3.72,2.32,21.02,357.39,305.68,394.35,58081,18554,158910,3.0305654127159145,16.14289317315827,0.7555189570349987
259,2020-01-17,0,3.01,1.21,5.69,-0.47,-2.81,1.70,1.55,-2.09,5.49,1.02,-3.98,4.11,113.27,26.53,330.14,18.36,-82.43,79.03,4.52,2.63,7.97,325.79,304.41,338.65,23592,12504,42597,28.052527849469353,16.14289317315827,2.0066170788726705
260,2020-01-18,0,3.28,1.24,5.14,0.44,-2.75,4.04,1.72,-2.96,4.70,0.39,-3.25,3.19,77.45,5.93,352.12,7.90,-65.73,74.57,3.37,0.91,9.70,330.45,311.93,345.95,30414,16639,59083,12.109490937388829,16.14289317315827,1.2094652332686446
261,2020-01-19,0,2.37,0.48,4.19,0.56,-2.82,2.60,-1.13,-3.45,3.32,-0.06,-3.22,2.86,295.82,2.56,358.47,-2.18,-71.03,50.64,2.24,1.03,6.41,329.41,288.60,360.63,34247,10491,78612,-2.7207553698186278,16.14289317315827,0.46795291790827165
262,2020-01-20,0,1.88,0.46,3.59,0.26,-2.70,1.88,-1.35,-2.64,1.00,-0.32,-2.07,2.28,279.83,6.99,350.43,-9.82,-66.95,52.43,1.43,0.62,2.83,298.98,275.90,325.50,19113,10191,72726,-12.77303897494503,16.14289317315827,-0.03466126234804845
263,2020-01-21,0,6.06,0.90,9.49,0.72,-2.84,5.73,-1.71,-7.25,4.20,0.2,-7.91,6.69,301.69,6.21,353.04,4.98,-77.36,84.30,6.17,0.91,11.53,330.26,279.10,371.49,36375,10301,142121,6.117197674563426,16.14289317315827,0.9098505701273744
264,2020-01-22,0,6.38,2.69,8.34,2.1,-3.10,6.55,-3.3,-7.47,4.56,-2.24,-6.18,3.86,301.19,15.36,352.98,-21.47,-84.48,55.36,6.45,4.15,14.87,358.30,340.60,376.17,65563,22029,126171,-26.425032741005065,16.14289317315827,-0.7172609506510501
265,2020-01-23,0,3.66,2.74,6.33,1.41,-2.09,4.41,-2.46,-5.86,0.72,-0.16,-4.22,2.03,298.61,1.77,358.21,-2.41,-54.27,33.07,3.79,1.44,12.98,342.22,321.48,365.09,40561,20461,95838,-3.224582449703246,16.14289317315827,0.44276156391404076
266,2020-01-24,0,3.49,2.29,4.52,-1.09,-4.47,2.71,-2.39,-3.97,2.42,-0.04,-2.35,1.60,234.19,117.35,336.80,-0.72,-44.35,25.36,3.97,1.38,9.52,323.51,294.85,334.73,30267,18601,68150,-0.8723040364693105,16.14289317315827,0.5603754845757375
267,2020-01-25,0,4.42,1.95,6.29,-2.63,-5.20,0.96,-0.12,-5.08,4.68,0.49,-3.94,4.28,179.01,64.49,281.87,5.94,-65.32,66.45,3.84,1.04,9.52,302.80,285.25,327.23,32880,16298,94506,10.369048103887748,16.14289317315827,1.1224430915935906
268,2020-01-26,0,3.23,0.59,4.72,-1.78,-3.89,2.74,0.75,-3.25,3.05,-0.09,-3.88,2.73,151.96,2.17,355.24,-1.78,-64.56,79.87,4.37,0.51,9.19,304.05,284.42,330.66,30729,14401,78912,-2.6648581179845983,16.14289317315827,0.4707477804999731
269,2020-01-27,0,3.55,0.58,4.48,2.64,-2.99,3.55,-1.05,-3.45,3.17,0.77,-2.92,2.37,331.00,33.68,355.65,13.61,-47.19,66.35,2.49,0.99,5.97,326.74,304.02,353.32,40544,17352,97321,14.65904026830055,16.14289317315827,1.3369426998142306
270,2020-01-28,0,3.70,1.06,8.00,0.72,-5.06,6.32,-1.68,-6.01,2.27,-1.52,-7.07,3.60,287.85,44.95,348.23,-25.03,-85.59,63.31,5.67,2.55,15.56,324.65,307.66,376.51,27776,14726,82737,-32.594885282803816,16.14289317315827,-1.0257535777409876
271,2020-01-29,0,5.12,1.88,7.91,3.56,-4.14,5.66,-2.83,-5.77,3.07,-0.52,-6.93,5.06,311.92,5.09,356.25,-6.22,-65.48,53.63,4.21,2.41,15.47,409.15,360.20,476.47,122764,27932,277134,-6.48106029522932,16.14289317315827,0.27993767163773703
272,2020-01-30,0,5.24,2.84,7.65,1.03,-5.98,5.97,-2.35,-6.43,4.87,-2.75,-6.40,5.29,280.86,1.89,355.39,-32.19,-80.60,63.70,4.61,2.51,9.77,417.93,385.26,466.44,87860,31375,191270,-36.17309084732553,16.14289317315827,-1.2046638559670735
273,2020-01-31,0,4.20,2.92,7.75,3.4,-4.78,5.37,-1.26,-5.51,3.02,0.05,-5.85,2.94,341.07,4.30,356.82,0.68,-58.51,36.44,2.30,0.97,5.88,480.49,433.93,538.72,159213,43581,302954,0.7899517939129846,16.14289317315827,0.6434882760948523
274,2020-02-01,0,3.95,1.45,7.06,0.45,-6.17,3.90,-1.16,-5.21,3.94,0.0,-4.74,3.74,294.95,1.08,359.10,0.05,-64.45,49.46,2.96,1.10,6.42,442.61,400.90,485.79,97917,29161,196536,0.0,16.14289317315827,0.6039906863992031
275,2020-02-02,0,3.90,1.59,5.81,0.36,-5.37,4.60,-1.48,-4.15,1.64,-0.35,-4.38,2.86,272.86,2.53,355.66,-5.45,-73.68,53.61,3.45,1.84,6.44,418.52,373.26,472.97,87723,25977,180266,-12.623100253635391,16.14289317315827,-0.027164326282566487
276,2020-02-03,0,3.47,1.57,4.83,1.27,-3.85,3.75,-1.32,-4.30,2.45,-0.19,-3.30,2.82,303.66,1.68,358.84,-3.46,-78.78,47.23,3.79,2.03,6.60,376.37,348.52,398.10,41587,18240,89516,-5.89050905261637,16.14289317315827,0.3094652337683846
277,2020-02-04,0,4.90,2.59,7.12,-2.05,-4.78,3.69,-2.48,-6.22,3.98,-2.17,-4.39,2.94,232.30,20.67,334.69,-25.06,-70.82,52.50,5.57,3.03,9.95,357.34,344.72,380.04,41755,14541,118365,-29.211342865091602,16.14289317315827,-0.8565764568553771
278,2020-02-05,0,4.33,2.02,6.53,2.85,-1.38,4.32,-1.6,-6.39,2.97,-0.3,-5.45,3.89,330.97,1.37,359.17,-3.74,-79.93,53.65,3.82,2.02,6.63,362.66,341.70,385.80,93747,38953,163661,-5.222525135691554,16.14289317315827,0.3428644296146254
279,2020-02-06,0,7.64,3.93,10.68,3.82,-5.43,7.59,-3.65,-9.17,5.49,0.68,-9.68,7.92,316.34,4.58,356.81,5.79,-79.75,76.37,4.66,2.26,18.40,462.54,353.65,602.38,157001,38842,420010,7.274507562204731,16.14289317315827,0.9677160645094396
280,2020-02-07,0,3.39,2.05,8.51,1.6,-2.70,4.82,-1.3,-7.32,3.38,-1.02,-5.67,3.33,317.64,1.33,356.91,-17.72,-83.68,62.85,1.94,0.97,5.03,588.79,524.68,659.88,159202,64699,437616,-23.915442683206955,16.14289317315827,-0.5917814477611447
281,2020-02-08,0,3.08,2.14,4.18,2.14,-2.49,3.48,-1.51,-3.62,1.99,-0.38,-3.20,2.09,321.68,0.87,358.78,-7.39,-58.83,40.38,1.95,0.77,3.31,491.18,437.78,547.88,99348,48957,188560,-8.170936732615006,16.14289317315827,0.19544384976845275
282,2020-02-09,0,3.26,1.96,5.23,1.53,-3.01,4.57,-1.52,-4.52,2.71,-0.49,-3.38,3.15,311.41,1.85,357.45,-9.63,-80.48,58.03,3.58,2.12,6.34,427.44,402.14,448.47,66436,26869,108553,-12.492315023724206,16.14289317315827,-0.020625064787007208
283,2020-02-10,0,3.42,1.86,5.36,0.0,-4.65,3.26,-0.84,-4.56,2.83,-0.14,-2.92,2.93,259.39,7.63,356.34,-2.35,-68.77,39.59,5.05,2.41,15.25,390.91,363.14,431.98,45657,16231,110399,-9.33585903200394,16.14289317315827,0.13719773479900604
284,2020-02-11,0,4.19,1.07,5.98,-2.36,-4.70,0.53,2.34,-3.83,5.45,0.58,-5.01,3.25,147.63,81.31,286.23,7.83,-74.04,47.13,4.60,2.78,13.14,404.13,349.52,441.61,47452,19233,130057,9.75492775065265,16.14289317315827,1.0917370739318355
285,2020-02-12,0,3.62,1.94,5.26,-2.72,-4.39,3.37,-0.24,-4.67,3.55,0.05,-3.65,3.86,192.82,6.90,354.46,0.83,-54.49,50.14,3.91,1.61,9.30,386.23,347.98,414.27,71083,23866,128641,1.0488620531351829,16.14289317315827,0.6564337890559622
286,2020-02-13,0,2.63,1.38,4.09,-1.85,-3.78,2.38,1.07,-1.49,3.24,0.14,-2.64,1.90,134.18,4.29,346.39,3.13,-59.64,40.86,3.43,1.61,5.66,347.81,324.05,370.78,28396,14089,74667,3.7399764557634487,16.14289317315827,0.7909895091873755
287,2020-02-14,0,3.03,0.84,4.54,-2.66,-4.44,1.66,-0.08,-2.08,1.52,0.63,-2.92,1.90,186.65,50.25,335.64,12.89,-76.44,74.82,6.19,3.56,8.34,336.45,320.44,354.37,19682,11590,44148,12.972774963575118,16.14289317315827,1.252629434577959
288,2020-02-15,0,3.77,0.92,6.07,2.66,-4.75,4.43,-1.41,-4.70,2.12,0.15,-4.01,3.96,320.23,6.77,355.88,2.40,-57.65,59.37,5.48,2.50,9.65,345.27,314.36,384.08,37912,19943,87593,2.848817646943923,16.14289317315827,0.7464315687463992
289,2020-02-16,0,3.30,1.29,4.85,1.21,-3.05,3.43,-1.38,-3.68,2.40,-0.33,-3.09,4.12,308.13,0.59,359.09,-6.73,-72.64,67.89,3.71,1.97,5.26,337.89,323.93,366.31,37295,18922,68480,-10.035432319708418,16.14289317315827,0.1022190704137822
290,2020-02-17,0,3.63,0.93,6.70,1.21,-3.06,3.57,-1.58,-4.87,3.24,-1.52,-6.59,2.67,303.47,9.81,348.93,-24.54,-86.11,53.43,4.21,2.12,7.81,334.92,319.13,370.69,34753,21800,64600,-31.25716319333581,16.14289317315827,-0.9588674732675875
291,2020-02-18,0,7.71,5.08,12.53,0.49,-4.24,7.26,-4.61,-11.08,3.35,-5.31,-10.53,10.04,274.94,17.97,339.48,-39.56,-88.29,71.89,7.47,2.49,15.91,374.56,355.59,408.46,46275,14414,111349,-36.99068209233448,16.14289317315827,-1.245543418217521
292,2020-02-19,0,4.81,3.47,10.39,2.39,-3.55,5.06,-3.05,-9.54,6.02,-0.61,-9.01,7.44,306.76,7.94,353.10,-7.38,-75.52,75.26,2.39,1.02,12.74,447.55,364.53,490.40,89670,38269,280290,-8.839241439350564,16.14289317315827,0.16202861443167482
293,2020-02-20,0,4.05,1.72,8.29,0.96,-7.46,4.44,-2.38,-4.43,2.52,-1.37,-6.84,3.23,285.35,4.11,355.07,-20.44,-67.79,43.84,3.38,1.35,11.32,409.70,366.89,444.71,65097,28088,130662,-25.217387166357327,16.14289317315827,-0.6568786719186632
294,2020-02-21,0,5.61,2.28,7.41,2.01,-4.78,6.63,-2.4,-5.89,2.26,-0.78,-6.00,5.57,299.93,4.26,356.58,-9.71,-76.48,72.46,3.56,1.82,7.48,476.48,387.10,510.40,123928,32159,234392,-13.591528256616744,16.14289317315827,-0.07558572643163419
295,2020-02-22,0,3.39,1.74,4.62,2.19,-3.33,3.60,-1.64,-3.91,2.17,-0.51,-3.21,2.42,319.65,1.66,358.70,-9.24,-64.00,44.40,2.07,1.21,4.41,477.79,446.45,522.60,98349,44856,178584,-10.384075874853965,16.14289317315827,0.08478689265650485
296,2020-02-23,0,3.85,3.00,5.17,2.42,-3.28,3.99,-1.88,-4.64,0.99,-1.02,-4.24,2.44,313.37,0.83,358.45,-15.15,-65.57,36.78,2.63,1.24,5.91,430.36,408.50,457.55,58732,24954,118266,-17.526908978392825,16.14289317315827,-0.2723547625204382
297,2020-02-24,0,3.83,2.92,4.42,3.09,-1.38,3.93,-1.12,-4.14,1.41,0.27,-2.77,3.54,336.51,0.97,359.12,4.06,-53.28,62.65,2.28,1.12,5.62,401.83,379.93,434.23,84296,34780,140424,4.680542534090807,16.14289317315827,0.8380178131037435
298,2020-02-25,0,3.25,2.67,4.34,2.76,0.51,4.09,-1.43,-3.17,0.60,-0.43,-1.96,1.04,333.48,0.66,358.72,-7.22,-37.63,15.33,1.71,1.08,3.46,349.32,332.93,405.56,51209,18553,127251,-7.80250368639286,16.14289317315827,0.21386550207956007
299,2020-02-26,0,4.13,1.88,6.69,1.61,-3.29,5.01,0.0,-4.43,4.72,0.73,-4.06,4.51,12.65,1.71,359.05,10.02,-68.78,60.09,5.24,3.01,8.43,344.57,331.95,360.36,39331,24677,80612,22.43819551117413,16.14289317315827,1.7259004619579095
300,2020-02-27,0,2.86,1.00,4.34,0.56,-3.59,2.76,-1.48,-3.40,2.10,-0.56,-3.23,2.67,290.07,3.96,356.83,-13.34,-73.46,61.16,3.33,1.96,4.84,356.58,339.11,376.56,47062,21718,93654,-18.449582516599623,16.14289317315827,-0.3184884394307781
301,2020-02-28,0,5.20,1.73,7.97,0.88,-5.26,5.46,0.8,-4.41,6.51,0.1,-4.68,6.39,28.75,6.06,357.23,1.01,-63.06,69.42,5.64,2.30,13.98,350.57,325.87,464.05,40712,15451,246761,4.789535615740198,16.14289317315827,0.843467467186213
302,2020-02-29,0,5.37,2.25,8.82,3.01,-5.39,5.83,-3.2,-7.77,0.78,-1.51,-6.14,4.78,305.78,8.41,353.65,-17.55,-55.70,53.63,4.19,1.22,6.98,463.88,394.57,562.39,168835,73994,298653,-18.006715603082867,16.14289317315827,-0.29634509375494034
304,2020-03-02,2,4.44,1.93,7.64,2.71,-3.92,5.84,-1.08,-6.27,3.19,0.95,-4.40,5.08,347.10,3.07,358.02,16.30,-61.88,70.61,5.28,1.41,11.36,429.15,395.26,471.06,98882,42895,174777,17.204710041841878,16.14289317315827,1.4642261884912968
305,2020-03-03,1,3.66,1.82,5.50,1.18,-3.00,4.45,-1.72,-4.99,2.24,0.57,-3.66,3.77,309.14,2.72,356.83,8.63,-76.90,71.75,6.47,4.00,8.86,420.80,403.10,446.50,118673,78605,181146,14.767449777583122,16.14289317315827,1.3423631752783591
306,2020-03-04,1,4.28,2.01,6.06,1.23,-1.89,3.43,-0.56,-3.97,5.87,-0.97,-5.00,2.97,6.91,9.82,352.40,-16.36,-74.31,34.91,5.56,3.29,14.43,385.40,370.10,408.80,31037,10450,116622,-30.246043671345483,16.14289317315827,-0.908311497168071
307,2020-03-05,1,5.82,4.32,6.93,1.87,-0.29,4.99,4.69,0.77,6.34,1.97,-0.69,4.36,65.55,9.56,93.58,20.42,-7.01,47.92,12.24,6.12,20.15,343.80,317.10,373.70,24197,11908,43224,19.975401035519013,16.14289317315827,1.6027607381751539
308,2020-03-06,1,7.19,4.04,9.28,3.4,-6.73,7.16,-2.72,-8.59,4.81,3.33,-5.33,6.89,319.71,6.01,357.30,28.24,-41.70,71.40,8.71,3.10,22.02,333.40,310.50,388.40,42357,9477,110864,31.278401140455415,16.14289317315827,2.1679107434219738
309,2020-03-07,1,4.65,2.82,6.90,0.29,-3.93,4.13,0.63,-2.98,4.79,2.58,-4.23,6.50,52.29,1.49,355.99,36.99,-83.84,84.16,6.40,3.89,9.39,362.20,332.30,392.30,46184,19301,110500,44.00082434845495,16.14289317315827,2.8040319038219508
310,2020-03-08,1,4.15,1.53,5.50,2.21,-4.27,4.31,-1.9,-4.38,3.47,-1.04,-3.59,3.71,291.93,10.86,342.20,-14.32,-63.51,74.09,5.93,2.44,17.53,357.40,331.60,409.20,39631,11325,165905,-18.576682421556292,16.14289317315827,-0.32484343467861154
311,2020-03-09,1,4.20,1.64,6.61,-1.28,-5.55,4.80,0.39,-4.42,5.36,-0.71,-2.95,3.06,163.41,1.88,355.96,-9.85,-53.39,44.36,11.80,5.81,16.94,343.30,327.10,370.90,35515,19455,69156,-25.112988066034227,16.14289317315827,-0.6516587169025083
312,2020-03-10,1,2.71,0.88,4.23,0.71,-2.35,4.04,-1.64,-3.53,0.66,-0.34,-2.54,1.59,290.81,4.71,356.44,-7.60,-61.58,36.22,7.79,5.61,13.56,326.80,310.40,352.30,15888,7966,51406,-10.586478573177246,16.14289317315827,0.07466675774034082
313,2020-03-11,1,1.87,0.38,3.86,0.15,-2.03,3.67,-0.9,-2.79,1.00,-0.01,-2.03,1.49,281.43,43.79,358.20,-0.59,-44.36,61.65,9.74,5.13,13.40,309.00,295.80,322.20,12682,7064,25072,-0.6278950263471521,16.14289317315827,0.5725959350818455
314,2020-03-12,1,5.40,1.62,6.81,2.54,-3.87,5.91,-2.16,-6.02,4.45,-0.65,-6.06,4.81,307.40,50.40,353.79,-8.03,-73.32,61.31,9.16,2.33,15.61,343.80,304.50,416.60,31361,13211,126257,-10.832301631376247,16.14289317315827,0.06237560483039073
315,2020-03-13,1,4.69,3.52,7.45,3.83,0.19,5.77,-2.14,-5.50,1.28,-0.24,-5.58,3.85,330.07,4.59,356.52,-2.87,-70.65,36.31,6.13,3.83,8.76,423.00,374.70,458.10,106045,59579,275725,-3.1264770715119137,16.14289317315827,0.44766683282360736
316,2020-03-14,1,2.85,1.22,3.90,1.79,-2.56,3.66,-1.42,-3.18,1.34,-0.27,-2.16,1.65,310.73,4.51,358.04,-5.28,-66.92,37.73,3.52,2.23,4.13,388.70,350.10,418.00,54750,32278,100457,-6.693251693767158,16.14289317315827,0.2693281017108452
317,2020-03-15,1,3.58,1.65,6.07,2.23,-1.95,4.02,-1.61,-4.98,1.03,-0.17,-4.01,4.57,317.34,2.14,358.20,-2.60,-68.63,55.09,4.85,2.56,12.13,359.30,344.00,382.10,43687,30628,67434,-3.530116952806083,16.14289317315827,0.4274848387588989
318,2020-03-16,1,3.43,0.90,8.24,0.71,-5.83,5.08,-1.4,-6.67,1.89,-1.29,-4.21,3.32,287.34,4.72,355.27,-22.81,-77.46,45.67,10.73,6.11,21.68,344.30,319.00,366.40,35570,17448,75051,-32.4117038880676,16.14289317315827,-1.016594508004177
319,2020-03-17,1,3.97,0.61,8.27,2.89,-6.33,6.32,-0.97,-6.12,3.19,-0.05,-5.73,6.58,328.18,0.73,358.95,-0.85,-79.90,64.46,6.28,4.08,10.25,400.40,330.70,449.80,98739,17888,207695,-0.9395444458879078,16.14289317315827,0.5570134641048077
320,2020-03-18,1,4.75,3.25,7.33,3.64,-3.98,6.99,-1.59,-4.93,3.09,0.37,-6.45,3.82,337.31,1.00,359.06,4.54,-75.35,46.54,5.58,4.08,10.29,401.20,372.50,426.90,79639,46855,120684,5.298901170299148,16.14289317315827,0.8689357449141605
321,2020-03-19,1,4.58,2.63,6.88,-1.78,-4.48,5.65,-2.43,-5.45,1.60,-0.79,-6.16,3.52,251.18,22.88,354.36,-12.19,-75.97,42.51,7.63,5.95,10.25,488.20,419.50,506.00,188001,68528,319380,-14.2349319105301,16.14289317315827,-0.10775590912730193
322,2020-03-20,1,4.06,1.94,5.78,2.23,-3.65,5.30,-1.59,-4.29,2.70,-0.83,-4.09,1.28,309.68,0.54,359.27,-12.67,-58.03,18.84,5.85,3.34,9.54,420.50,396.00,487.80,97174,52572,193267,-16.173598778653787,16.14289317315827,-0.20468925253348624
323,2020-03-21,1,3.69,1.12,6.49,2.74,-3.62,5.88,-1.2,-3.85,2.69,-0.21,-4.02,4.62,327.01,1.25,356.93,-3.54,-70.05,54.16,9.69,4.88,13.70,475.30,396.00,517.40,246281,86140,345949,-4.0060145731233545,16.14289317315827,0.40368995774303534
324,2020-03-22,1,4.32,2.20,5.59,2.61,-4.17,5.09,-1.93,-4.94,1.87,-0.33,-3.90,2.31,316.15,0.88,358.89,-4.66,-70.56,30.56,7.47,5.72,9.65,448.90,426.40,491.20,127567,68491,205274,-5.775253645419883,16.14289317315827,0.3152280041282089
325,2020-03-23,1,4.13,1.99,5.58,-0.54,-4.93,4.95,-0.76,-4.13,2.39,-0.87,-4.10,2.91,257.70,1.95,358.44,-14.11,-78.30,50.59,7.44,5.83,10.92,471.30,438.90,512.70,167832,84762,262329,-34.3038912715182,16.14289317315827,-1.1112038771767068
326,2020-03-24,1,3.83,1.69,5.32,3.21,-1.85,4.39,-1.42,-4.25,0.81,0.2,-3.16,2.15,335.22,0.99,358.98,3.00,-65.87,42.97,5.88,3.87,7.79,448.70,387.30,471.30,146312,63425,247048,3.2558679946716085,16.14289317315827,0.7667840861327835
327,2020-03-25,1,3.38,2.38,5.74,2.77,-0.48,5.24,-0.51,-3.14,3.15,0.23,-2.05,3.11,353.94,0.56,358.94,3.91,-42.97,44.70,4.71,3.24,7.79,394.10,375.20,423.30,64259,29996,178876,4.652992243403925,16.14289317315827,0.8366402985693993
328,2020-03-26,1,4.00,1.67,5.84,2.57,-3.56,5.11,-1.27,-5.02,2.56,0.28,-4.06,3.44,319.09,1.01,357.72,4.86,-64.95,53.62,5.09,1.84,8.17,401.10,363.40,421.90,56667,28124,101837,5.55237235995649,16.14289317315827,0.8816093043970276
329,2020-03-27,1,3.37,1.53,4.66,0.6,-3.53,3.81,-1.7,-3.97,1.03,-0.23,-3.60,3.94,279.09,12.49,352.88,-4.53,-69.32,73.81,5.41,3.46,7.63,404.50,383.10,419.60,65590,45795,136618,-7.212737139023143,16.14289317315827,0.2433538294480459
